uuid,occurrenceID,raw_institutionCode,raw_collectionCode,taxonConceptID,eventDate,occurrenceYear,scientificName,taxonRank,taxonRankID,country,kingdom,phylum,classs,order,family,genus,genusGuid,species,speciesGuid,stateProvince,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,basisOfRecord,left,right,dataProviderUid,dataProviderName,dataResourceUid,dataResourceName,assertions,speciesGroups,geospatialKosher,taxonomicKosher,collector,collectors,raw_scientificName,latLong,point1,point01,point001,point0001,point00001,namesLsid,license,identificationVerificationStatus,gridReference,vitality,raw_taxonId,publicResolutionInMeters,vernacularName,raw_locationRemarks,lifeStage,locationId,raw_samplingProtocol,raw_vernacularName,raw_occurrenceRemarks,raw_catalogNumber,image,images,multimedia,imageUrl,largeImageUrl,smallImageUrl,thumbnailUrl,imageUrls,eventDateEnd,miscDateProperties.occurrence_date_end_dt
861f0e84-1629-45ab-9ee8-979b0570d8a6,CI0001660000DGMO,HBRG,CI0001660000001O,NBNSYS0000031894,1561680000000.0,1546300800000,Diplolepis spinosissimae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis spinosissimae,NBNSYS0000031894,Scotland,57.261509,-6.44874,70.7,2019,06,HumanObservation,77701,77701,dp7,Highland Biological Recording Group,dr965,HBRG Insects Dataset Vol 1,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,Neil Roberts,"['Roberts, N. Neil']",,"57.261509,-6.44874","57,-6","57.3,-6.4","57.26,-6.45","57.262,-6.449","57.2615,-6.4487",Diplolepis spinosissimae|NBNSYS0000031894||Animalia|Cynipidae,CC-BY,Accepted - considered correct,NG318277,,NBNSYS0000031894,0.0,,,,,Field Observation,,Gall on Burnet Rose.,,,,,,,,,,,
c36f2c2d-b71a-4f9f-b24d-85edb35d2cfa,https://www.ispotnature.org/communities/uk-and-ireland/view/observation/116978/field-rose-gall,iSpot,,NHMSYS0020704994,1340150400000.0,1325376000000,Diplolepis,genus,6000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,,,England,51.216605,-1.465484,7071.0,2012,06,HumanObservation,77690,77702,dp267,iSpot,dr2701,iSpot British Isles observations,"['geodeticDatumAssumedWgs84', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Arthropods', 'Insects']",true,true,Graeme,['Graeme'],Diplolepis,"51.216605,-1.465484","51,-1","51.2,-1.5","51.22,-1.47","51.217,-1.465","51.2166,-1.4655",Diplolepis|NHMSYS0020704994|Smooth Pea Gall (S.L.)|Animalia|Cynipidae,CC-BY-NC,Unconfirmed - not reviewed,SU34,,NHMSYS0020704994,,Smooth Pea Gall (S.L.),,,,,,,116978,,,,,,,,,,
ac68d0dd-71d0-4754-8913-86390d79b1a3,WA00000500012DVT,,WA00000500000035,NBNSYS0000031893,1270425600000.0,1262304000000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.248617,0.855114,1414.2,2010,04,HumanObservation,77699,77699,dp121,Suffolk Biodiversity Information Service,dr867,Suffolk Biodiversity Information Service (SBIS) Dataset,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,,,Diplolepis rosae,"52.248617,0.855114","52,1","52.2,0.9","52.25,0.86","52.249,0.855","52.2486,0.8551",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Accepted,TL96M,,NBNSYS0000031893,,Bedeguar Gall,,,,,,,,,,,,,,,,,
2555f927-80c7-416f-b502-02a836b7cd95,1086673,LRERC,County Recorder,NBNSYS0000031893,1484352000000.0,1483228800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.659326,-1.424846,1414.2,2017,01,HumanObservation,77699,77699,dp156,Leicestershire and Rutland Environmental Records Centre,dr2466,Leicestershire and Rutland Environmental Records Centre records 2015-2019,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,-Withheld-,['-Withheld-'],Diplolepis rosae,"52.659326,-1.424846","53,-1","52.7,-1.4","52.66,-1.42","52.659,-1.425","52.6593,-1.4248",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Accepted - correct,SK30Y,not recorded,NBNSYS0000031893,0.0,Bedeguar Gall,,,,,,,,,,,,,,,,,
83029b93-972a-44a8-9e80-8cef3ac7f6c7,CCW000660000415L,NRW,CCW000660000000C,NBNSYS0000031893,1124409600000.0,1104537600000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,Wales,53.216643,-4.124365,70.7,2005,08,HumanObservation,77699,77699,dp122,Natural Resources Wales,dr1212,Welsh Invertebrate Database (WID),"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,John Bratton,"['Bratton, J. John']",,"53.216643,-4.124365","53,-4","53.2,-4.1","53.22,-4.12","53.217,-4.124","53.2166,-4.1244",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,OGL,Accepted,SH582709,,NBNSYS0000031893,,Bedeguar Gall,,['gall'],CCW0006600000221,,,,,,,,,,,,,,
fd9d848f-c8c1-46f3-9cc9-0d738c981e41,1090668,LRERC,County Recorder,NBNSYS0000031893,1502409600000.0,1483228800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.618436,-0.775458,1414.2,2017,08,HumanObservation,77699,77699,dp156,Leicestershire and Rutland Environmental Records Centre,dr2466,Leicestershire and Rutland Environmental Records Centre records 2015-2019,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,-Withheld-,['-Withheld-'],Diplolepis rosae,"52.618436,-0.775458","53,-1","52.6,-0.8","52.62,-0.78","52.618,-0.775","52.6184,-0.7755",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Accepted - correct,SK80G,not recorded,NBNSYS0000031893,0.0,Bedeguar Gall,,,,,,,,,,,,,,,,,
730f9435-01c0-4e4a-8767-79a4bad10f32,17303301,,Wild Sheffield | General records,NBNSYS0000031893,1594771200000.0,1577836800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,53.338807,-1.376176,7.1,2020,07,HumanObservation,77699,77699,dp239,Sheffield and Rotherham Wildlife Trust,dr2096,Sheffield and Rotherham Wildlife Trust - Records,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,Sandra Fretwell-Smith,"['Fretwell-Smith, S. Sandra']","Diplolepis rosae (Linnaeus, 1758)","53.338807,-1.376176","53,-1","53.3,-1.4","53.34,-1.38","53.339,-1.376","53.3388,-1.3762",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Unconfirmed - not reviewed,SK41638261,,NBNSYS0000031893,0.0,Bedeguar Gall,,['not recorded'],,,Robin's Pin-Cushion Gall,,,,,,,,,,,,
7ffc19b6-92b6-44a4-b70e-d61d0bd60059,8004058,,NatureSpot | Records,NBNSYS0000031889,1530662400000.0,1514764800000,Diplolepis eglanteriae agg.,species aggregate,6952,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,,,England,52.659286,-1.187554,70.7,2018,07,HumanObservation,77693,77693,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Higgott, Mike","['Higgott, M. Mike']",Diplolepis eglanteriae agg.,"52.659286,-1.187554","53,-1","52.7,-1.2","52.66,-1.19","52.659,-1.188","52.6593,-1.1876",Diplolepis eglanteriae agg.|NBNSYS0000031889|Smooth Pea Gall|Animalia|Cynipidae,CC-BY,Accepted - correct,SK550071,,NBNSYS0000031889,0.0,Smooth Pea Gall,,,,,Smooth Pea Gall,,,,,,,,,,,,
c45e22c9-f829-40ee-8386-a211b2dae148,8002963,,NatureSpot | Records,NBNSYS0000031893,1533513600000.0,1514764800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.659286,-1.187554,70.7,2018,08,HumanObservation,77699,77699,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Higgott, Mike","['Higgott, M. Mike']","Diplolepis rosae (Linnaeus, 1758)","52.659286,-1.187554","53,-1","52.7,-1.2","52.66,-1.19","52.659,-1.188","52.6593,-1.1876",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY,Accepted - correct,SK550071,,NBNSYS0000031893,0.0,Bedeguar Gall,,,,,Robin's Pin-Cushion Gall,,,,,,,,,,,,
b24b5128-6c38-4f17-8223-f7808ffb9ce7,CI0001660000E1CI,HBRG,CI0001660000001O,NBNSYS0000031894,1592006400000.0,1577836800000,Diplolepis spinosissimae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis spinosissimae,NBNSYS0000031894,Scotland,57.174683,-6.295052,707.1,2020,06,HumanObservation,77701,77701,dp7,Highland Biological Recording Group,dr965,HBRG Insects Dataset Vol 1,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,Neil Roberts,"['Roberts, N. Neil']",,"57.174683,-6.295052","57,-6","57.2,-6.3","57.17,-6.3","57.175,-6.295","57.1747,-6.2951",Diplolepis spinosissimae|NBNSYS0000031894||Animalia|Cynipidae,CC-BY,Accepted - considered correct,NG4017,,NBNSYS0000031894,0.0,,,,,Field Observation,,Galls on Rosa pimpinellafolia.,,,,,,,,,,,
